# rubi-harness, symplex 0.23.0: 215 files, 72254 entries, 12 jobs, timeout 10 s, check timeout 30 s, wall 14 s
path	total	unsupported	verified	real_verified	unevaluated	wrong	undecided	timeout	panic	seconds
4 Trig functions/4.2 Cosine/4.2.4.1 (a+b cos)^m (A+B cos+C cos^2).mac	393	0	0	0	393	0	0	0	0	1.8
4 Trig functions/4.2 Cosine/4.2.4.2 (a+b cos)^m (c+d cos)^n (A+B cos+C cos^2).mac	1541	0	0	0	1541	0	0	0	0	8.5
4 Trig functions/4.2 Cosine/4.2.7 (d trig)^m (a+b (c cos)^n)^p.mac	98	0	10	0	88	0	0	0	0	1.2
4 Trig functions/4.2 Cosine/4.2.8 (a+b cos)^m (c+d trig)^n.mac	21	0	0	0	21	0	0	0	0	0.1
4 Trig functions/4.2 Cosine/4.2.9 trig^m (a+b cos^n+c cos^(2 n))^p.mac	20	0	4	0	16	0	0	0	0	0.1
4 Trig functions/4.3 Tangent/4.3.0 (a trg)^m (b tan)^n.mac	387	0	4	0	383	0	0	0	0	1.4
4 Trig functions/4.3 Tangent/4.3.1.2 (d sec)^m (a+b tan)^n.mac	700	0	1	0	699	0	0	0	0	3.0
4 Trig functions/4.3 Tangent/4.3.1.3 (d sin)^m (a+b tan)^n.mac	91	0	0	0	91	0	0	0	0	0.3
4 Trig functions/4.3 Tangent/4.3.10 (c+d x)^m (a+b tan)^n.mac	63	0	0	0	63	0	0	0	0	0.2
4 Trig functions/4.3 Tangent/4.3.11 (e x)^m (a+b tan(c+d x^n))^p.mac	66	0	0	0	66	0	0	0	0	0.2
4 Trig functions/4.3 Tangent/4.3.2.1 (a+b tan)^m (c+d tan)^n.mac	1328	0	2	0	1326	0	0	0	0	6.0
4 Trig functions/4.3 Tangent/4.3.3.1 (a+b tan)^m (c+d tan)^n (A+B tan).mac	855	0	0	0	855	0	0	0	0	5.3
4 Trig functions/4.3 Tangent/4.3.4.2 (a+b tan)^m (c+d tan)^n (A+B tan+C tan^2).mac	171	0	0	0	171	0	0	0	0	1.1
4 Trig functions/4.3 Tangent/4.3.7 (d trig)^m (a+b (c tan)^n)^p.mac	499	0	1	0	498	0	0	0	0	1.7
4 Trig functions/4.3 Tangent/4.3.9 trig^m (a+b tan^n+c tan^(2 n))^p.mac	51	0	0	0	51	0	0	0	0	0.2
4 Trig functions/4.4 Cotangent/4.4.0 (a trg)^m (b cot)^n.mac	52	0	2	0	50	0	0	0	0	0.1
4 Trig functions/4.4 Cotangent/4.4.1.2 (d csc)^m (a+b cot)^n.mac	23	0	4	0	19	0	0	0	0	0.1
4 Trig functions/4.4 Cotangent/4.4.1.3 (d cos)^m (a+b cot)^n.mac	19	0	1	0	18	0	0	0	0	0.1
4 Trig functions/4.4 Cotangent/4.4.10 (c+d x)^m (a+b cot)^n.mac	61	0	0	0	61	0	0	0	0	0.3
4 Trig functions/4.4 Cotangent/4.4.2.1 (a+b cot)^m (c+d cot)^n.mac	106	0	0	0	106	0	0	0	0	0.8
4 Trig functions/4.4 Cotangent/4.4.7 (d trig)^m (a+b (c cot)^n)^p.mac	64	0	1	0	63	0	0	0	0	0.2
4 Trig functions/4.4 Cotangent/4.4.9 trig^m (a+b cot^n+c cot^(2 n))^p.mac	32	0	0	0	32	0	0	0	0	0.2
4 Trig functions/4.5 Secant/4.5.0 (a sec)^m (b trg)^n.mac	299	0	0	0	299	0	0	0	0	0.8
4 Trig functions/4.5 Secant/4.5.1.2 (d sec)^n (a+b sec)^m.mac	879	0	0	0	879	0	0	0	0	3.0
4 Trig functions/4.5 Secant/4.5.1.3 (d sin)^n (a+b sec)^m.mac	306	0	6	0	300	0	0	0	0	1.1
4 Trig functions/4.5 Secant/4.5.1.4 (d tan)^n (a+b sec)^m.mac	365	0	0	0	365	0	0	0	0	1.6
4 Trig functions/4.5 Secant/4.5.10 (c+d x)^m (a+b sec)^n.mac	46	0	0	0	46	0	0	0	0	0.1
4 Trig functions/4.5 Secant/4.5.11 (e x)^m (a+b sec(c+d x^n))^p.mac	83	0	0	0	83	0	0	0	0	0.3
